R=1," Q=[0.1, 0.01, 0, 0.01, 0.01, 0, 0, 0, 0.1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = P = 1 in steering
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k
0.00531,0.00472,0.00000,-0.37594,0.03343,-0.00736,0.00000,0.21008,0.11633,0.97728,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.47738,0.31322,0.00000
0.01603,0.00454,0.00000,-0.35573,0.03343,-0.00583,0.00000,0.21063,0.11596,0.97881,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.39620,0.29595,0.00000
0.02590,0.00424,0.00000,-0.33655,0.03343,-0.00400,0.00000,0.21002,0.11505,0.97832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.31949,0.27964,0.00000
0.03597,0.00413,0.00000,-0.31833,0.03343,-0.00491,0.00000,0.21082,0.11511,0.97844,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.24434,0.26357,0.00000
0.04585,0.00380,0.00000,-0.30109,0.03343,-0.00476,0.00000,0.21075,0.11395,0.98027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.17410,0.24859,0.00000
0.05597,0.00374,0.00000,-0.28475,0.03343,-0.00552,0.00000,0.21191,0.11346,0.98143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.10674,0.23420,0.00000
0.06533,0.00297,0.00000,-0.26915,0.03343,-0.00400,0.00000,0.21149,0.11462,0.98064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.04439,0.22094,0.00000
0.07655,0.00401,0.00000,-0.25428,0.03343,-0.00568,0.00000,0.20990,0.11627,0.98106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.98220,0.20762,0.00000
0.08654,0.00382,0.00000,-0.24013,0.03343,-0.00598,0.00000,0.20996,0.11621,0.97935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.92421,0.19524,0.00000
0.09658,0.00370,0.00000,-0.22675,0.03343,-0.00736,0.00000,0.21161,0.11547,0.97942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.86838,0.18328,0.00000
0.10592,0.00289,0.00000,-0.21390,0.03343,-0.00690,0.00000,0.21106,0.11779,0.97789,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.81634,0.17219,0.00000
0.11698,0.00377,0.00000,-0.20189,0.03343,-0.00629,0.00000,0.21283,0.11407,0.97820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.76783,0.16186,0.00000
0.12756,0.00418,0.00000,-0.19066,0.03343,-0.00354,0.00000,0.20953,0.10968,0.97832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.72439,0.15268,0.00000
0.13775,0.00415,0.00000,-0.17982,0.03343,-0.00445,0.00000,0.21088,0.11340,0.97820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.67934,0.14304,0.00000
0.14775,0.00398,0.00000,-0.16958,0.03343,-0.00812,0.00000,0.21191,0.11279,0.97746,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.63434,0.13333,0.00000
0.15819,0.00425,0.00000,-0.15984,0.03343,-0.00552,0.00000,0.21088,0.11267,0.97905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.59687,0.12541,0.00000
0.16691,0.00283,0.00000,-0.15050,0.03343,-0.00506,0.00000,0.21344,0.11425,0.97832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.55914,0.11737,0.00000
0.17810,0.00380,0.00000,-0.14184,0.03340,-0.00659,0.00000,0.21295,0.11059,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.52248,0.10951,0.00000
0.18887,0.00440,0.00000,-0.13316,0.03340,-0.00506,0.00000,0.21222,0.11932,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.48838,0.10228,0.00000
0.19839,0.00374,0.00000,-0.12519,0.03337,-0.00613,0.00000,0.21185,0.11370,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.45497,0.09512,0.00000
0.20898,0.00415,0.00000,-0.11763,0.03337,-0.00445,0.00000,0.21344,0.11340,0.97942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.42558,0.08890,0.00000
0.21874,0.00373,0.00000,-0.11016,0.03334,-0.00491,0.00000,0.21484,0.11913,0.97588,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.39470,0.08230,0.00000
0.22971,0.00453,0.00000,-0.10247,0.03334,-0.00384,0.00000,0.22076,0.13091,0.97606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.36427,0.07584,0.00000
0.23966,0.00380,0.00000,-0.09505,0.03334,-0.00415,0.00000,0.21759,0.13316,0.97472,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.33370,0.06931,0.00000
0.25016,0.00413,0.00000,-0.08836,0.03334,0.00013,0.00000,0.24223,0.12633,0.98003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.31012,0.06441,0.00000
0.26001,0.00381,0.00000,-0.08214,0.03334,0.00440,0.00000,0.24772,0.12145,0.96776,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.28846,0.05991,0.00000
0.26934,0.00299,0.00000,-0.07636,0.03334,0.00730,0.00000,0.23839,0.12108,0.99345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.26739,0.05551,0.00000
0.28060,0.00408,0.00000,-0.07169,0.03334,0.00669,0.00000,0.23076,0.10449,0.99942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24777,0.05130,0.00000
0.29093,0.00421,0.00000,-0.06648,0.03334,0.00624,0.00000,0.24979,0.11962,0.98570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22610,0.04667,0.00000
0.30070,0.00381,0.00000,-0.06232,0.03334,0.00410,0.00000,0.24095,0.10431,0.99436,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20729,0.04259,0.00000
0.31105,0.00397,0.00000,-0.05780,0.03334,0.00043,0.00000,0.24662,0.11492,0.97515,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18566,0.03786,0.00000
0.32122,0.00381,0.00000,-0.05369,0.03334,-0.00155,0.00000,0.23448,0.11200,0.98167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16714,0.03385,0.00000
0.33201,0.00442,0.00000,-0.05028,0.03334,-0.00583,0.00000,0.24083,0.10138,0.96600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14950,0.02996,0.00000
0.34123,0.00347,0.00000,-0.04670,0.03334,-0.00934,0.00000,0.23204,0.10791,0.95929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13180,0.02607,0.00000
0.35177,0.00383,0.00000,-0.04373,0.03334,-0.00842,0.00000,0.23528,0.09998,0.96661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.12047,0.02368,0.00000
0.36238,0.00427,0.00000,-0.04056,0.03334,-0.00629,0.00000,0.22204,0.10712,0.97460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10939,0.02138,0.00000
0.37139,0.00311,0.00000,-0.03634,0.03334,-0.00461,0.00000,0.21039,0.12962,0.96715,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09367,0.01808,0.00000
0.38372,0.00480,0.00000,-0.03240,0.03334,-0.00048,0.00000,0.20405,0.12761,0.96648,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.08115,0.01553,0.00000
0.39287,0.00376,0.00000,-0.02912,0.03334,-0.00018,0.00000,0.20337,0.11968,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06804,0.01275,0.00000
0.40356,0.00427,0.00000,-0.02696,0.03334,0.00257,0.00000,0.20130,0.09992,0.98234,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.06163,0.01146,0.00000
0.41321,0.00374,0.00000,-0.02472,0.03334,0.00410,0.00000,0.19453,0.10315,0.97862,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05378,0.00983,0.00000
0.42397,0.00433,0.00000,-0.02259,0.03334,0.00349,0.00000,0.18562,0.10321,0.98131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.04455,0.00785,0.00000
0.43400,0.00418,0.00000,-0.02010,0.03334,0.00471,0.00000,0.18825,0.11145,0.97344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03549,0.00595,0.00000
0.44420,0.00421,0.00000,-0.01761,0.03334,0.00822,0.00000,0.18269,0.11303,0.97033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.02837,0.00454,0.00000
0.45454,0.00436,0.00000,-0.01660,0.03334,0.00853,0.00000,0.18221,0.08686,0.98320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.02452,0.00372,0.00000
0.46438,0.00403,0.00000,-0.01408,0.03334,0.00349,0.00000,0.18233,0.11913,0.98039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00985,0.00044,0.00000
0.47394,0.00341,0.00000,-0.01220,0.03331,0.00517,0.00000,0.17666,0.10773,0.97338,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00366,-0.00083,0.00000
0.48429,0.00361,0.00000,-0.00933,0.03326,0.00654,0.00000,0.18056,0.12987,0.97838,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00677,-0.00301,0.00000
0.49456,0.00371,0.00000,-0.00717,0.03309,0.00883,0.00000,0.17214,0.11822,0.98344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01334,-0.00433,0.00000
0.50509,0.00406,0.00000,-0.00504,0.03292,0.00822,0.00000,0.16946,0.11919,0.97813,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02229,-0.00625,0.00000
0.51490,0.00361,0.00000,-0.00338,0.03275,0.00837,0.00000,0.17995,0.11315,0.98576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02869,-0.00760,0.00000
0.52571,0.00425,0.00000,-0.00141,0.03258,0.01280,0.00000,0.18605,0.12066,0.98997,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03261,-0.00829,0.00000
0.53555,0.00392,0.00000,0.00057,0.03238,0.01219,0.00000,0.18239,0.12420,0.99857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04093,-0.01008,0.00000
0.54612,0.00431,0.00000,0.00206,0.03210,0.01036,0.00000,0.17111,0.11566,0.99503,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04818,-0.01167,0.00000
0.55579,0.00381,0.00000,0.00320,0.03176,0.00960,0.00000,0.18471,0.10882,0.97899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05296,-0.01269,0.00000
0.56514,0.00301,0.00000,0.00350,0.03133,0.01128,0.00000,0.19032,0.09241,0.97216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05209,-0.01243,0.00000
0.57616,0.00385,0.00000,0.00460,0.03074,0.00929,0.00000,0.19746,0.10559,0.94093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05741,-0.01360,0.00000
0.58541,0.00295,0.00000,0.00581,0.03009,0.00822,0.00000,0.19605,0.10931,0.94129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06231,-0.01464,0.00000
0.59682,0.00418,0.00000,0.00685,0.02918,0.00792,0.00000,0.18056,0.10968,0.97112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06542,-0.01526,0.00000
0.60661,0.00379,0.00000,0.00659,0.02825,0.00990,0.00000,0.17952,0.08747,1.00272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06122,-0.01426,0.00000
0.61716,0.00417,0.00000,0.00706,0.02717,0.00715,0.00000,0.17605,0.10443,1.02346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06387,-0.01485,0.00000
0.62708,0.00380,0.00000,0.00790,0.02607,0.00257,0.00000,0.23692,0.11193,0.99265,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06963,-0.01616,0.00000
0.63738,0.00392,0.00000,0.00915,0.02496,0.00379,0.00000,0.23089,0.11743,0.96386,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07198,-0.01656,0.00000
0.64761,0.00379,0.00000,0.00941,0.02377,0.00471,0.00000,0.23918,0.09729,0.94715,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07045,-0.01615,0.00000
0.65835,0.00435,0.00000,0.01032,0.02253,0.00395,0.00000,0.22308,0.10974,0.94440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07294,-0.01664,0.00000
0.66797,0.00379,0.00000,0.01144,0.02123,0.00410,0.00000,0.23723,0.11669,0.95776,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07539,-0.01709,0.00000
0.67834,0.00400,0.00000,0.01223,0.01976,0.00242,0.00000,0.25260,0.11492,0.98399,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07786,-0.01758,0.00000
0.68759,0.00307,0.00000,0.01260,0.01843,0.00303,0.00000,0.26395,0.10968,1.00766,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07682,-0.01727,0.00000
0.69848,0.00377,0.00000,0.01531,0.01673,0.00104,0.00000,0.24144,0.16171,1.02565,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08701,-0.01942,0.00000
0.70896,0.00408,0.00000,0.01631,0.01517,-0.00079,0.00000,0.24644,0.12932,1.03139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09034,-0.02010,0.00000
0.71877,0.00371,0.00000,0.01532,0.01381,-0.00232,0.00000,0.26980,0.08632,1.00699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08553,-0.01905,0.00000
0.72944,0.00420,0.00000,0.01589,0.01245,-0.00445,0.00000,0.28536,0.11694,0.98637,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08765,-0.01950,0.00000
0.73870,0.00329,0.00000,0.01659,0.01132,-0.00568,0.00000,0.24406,0.11651,0.96356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08986,-0.01994,0.00000
0.74980,0.00421,0.00000,0.01789,0.00999,-0.00506,0.00000,0.26413,0.12828,0.94904,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09262,-0.02044,0.00000
0.75957,0.00382,0.00000,0.01957,0.00892,-0.00186,0.00000,0.25169,0.13115,0.91323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09504,-0.02081,0.00000
0.76996,0.00403,0.00000,0.02030,0.00778,-0.00430,0.00000,0.24986,0.11505,0.91323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09845,-0.02155,0.00000
0.77990,0.00381,0.00000,0.02020,0.00685,-0.00705,0.00000,0.24656,0.10126,0.92458,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09901,-0.02170,0.00000
0.78940,0.00313,0.00000,0.02126,0.00603,-0.00965,0.00000,0.22289,0.12651,0.95014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10435,-0.02288,0.00000
0.80137,0.00497,0.00000,0.02174,0.00521,-0.00430,0.00000,0.20533,0.11590,0.95916,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10040,-0.02183,0.00000
0.81060,0.00403,0.00000,0.01990,0.00470,-0.00659,0.00000,0.19367,0.07076,0.96386,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09410,-0.02053,0.00000
0.82054,0.00379,0.00000,0.01866,0.00427,-0.01041,0.00000,0.20734,0.08406,0.98979,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09174,-0.02012,0.00000
0.83094,0.00401,0.00000,0.01893,0.00393,-0.01423,0.00000,0.20764,0.11858,1.02754,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09564,-0.02105,0.00000
0.84280,0.00568,0.00000,0.01966,0.00374,-0.02049,0.00000,0.21448,0.13072,1.02736,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10377,-0.02296,0.00000
0.85161,0.00426,0.00000,0.02024,0.00371,-0.01927,0.00000,0.21679,0.12523,1.01333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10504,-0.02319,0.00000
0.86130,0.00376,0.00000,0.01876,0.00371,-0.02400,0.00000,0.19770,0.08198,0.99143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10312,-0.02293,0.00000
0.87182,0.00412,0.00000,0.01860,0.00371,-0.02507,0.00000,0.18764,0.10449,0.96179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10339,-0.02302,0.00000
0.88168,0.00379,0.00000,0.01942,0.00371,-0.02629,0.00000,0.17239,0.12285,0.95520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10782,-0.02400,0.00000
0.89188,0.00383,1.02127,0.02067,0.00371,-0.02095,0.00000,0.14780,0.12877,0.94282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10824,-0.02393,0.00000
0.90193,0.00373,1.02127,0.02207,0.00371,-0.01469,0.00000,0.16360,0.13389,0.95520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10851,-0.02379,0.00000
0.91216,0.00379,1.02127,0.02170,0.00371,-0.01866,0.00000,0.16513,0.10401,0.98118,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11047,-0.02433,0.00000
0.92252,0.00399,1.02127,0.02028,0.00371,-0.02186,0.00000,0.18867,0.08534,1.00351,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10746,-0.02379,0.00000
0.93251,0.00379,1.02127,0.01954,0.00371,-0.02095,0.00000,0.19636,0.09992,1.02742,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10364,-0.02294,0.00000
0.94292,0.00402,1.02127,0.01910,0.00371,-0.01911,0.00000,0.20557,0.10760,1.04816,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10027,-0.02217,0.00000
0.95297,0.00381,1.02127,0.01969,0.00371,-0.01728,0.00000,0.22698,0.12706,1.02986,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10106,-0.02228,0.00000
0.96341,0.00407,1.02127,0.02059,0.00371,-0.01545,0.00000,0.21875,0.12969,0.99552,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10315,-0.02267,0.00000
0.97328,0.00376,1.02127,0.02179,0.00371,-0.01621,0.00000,0.19837,0.13396,0.97746,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10872,-0.02389,0.00000
0.98377,0.00408,1.02127,0.02214,0.00371,-0.01850,0.00000,0.20264,0.11529,0.94934,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11214,-0.02469,0.00000
0.99365,0.00378,1.02127,0.02249,0.00371,-0.01789,0.00000,0.18995,0.11328,0.93361,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11304,-0.02486,0.00000
1.00284,0.00282,1.02127,0.02215,0.00371,-0.01805,0.00000,0.18886,0.10102,0.94434,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11176,-0.02459,0.00000
1.01424,0.00405,1.02127,0.02176,0.00371,-0.01362,0.00000,0.17562,0.10108,0.96020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10633,-0.02330,0.00000
1.02316,0.00301,1.02127,0.02088,0.00379,-0.01331,0.00000,0.18141,0.08967,0.95221,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10260,-0.02250,0.00000
1.03480,0.00429,1.02127,0.02100,0.00442,-0.00934,0.00000,0.17897,0.10858,0.95660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10058,-0.02198,0.00000
1.04474,0.00405,1.02127,0.02078,0.00586,-0.01072,0.00000,0.19886,0.10340,0.96648,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10307,-0.02263,0.00000
1.05474,0.00386,1.02127,0.02022,0.00804,-0.01331,0.00000,0.20795,0.09961,0.99247,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10636,-0.02352,0.00000
1.06510,0.00405,1.02127,0.01982,0.01047,-0.00522,0.00000,0.20161,0.10157,1.00150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10139,-0.02234,0.00000
1.07501,0.00367,1.02127,0.01857,0.01259,-0.00522,0.00000,0.20673,0.08388,1.00461,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09951,-0.02206,0.00000
1.08555,0.00403,1.02127,0.01749,0.01452,-0.00629,0.00000,0.22112,0.08674,1.00760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09893,-0.02207,0.00000
1.09548,0.00379,1.02127,0.01820,0.01599,-0.00506,0.00000,0.24540,0.12560,1.02553,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10303,-0.02298,0.00000
1.10491,0.00305,1.02127,0.01939,0.01721,-0.00018,0.00000,0.25394,0.13493,1.01943,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10546,-0.02342,0.00000
1.11610,0.00407,1.02127,0.01980,0.01837,0.01021,0.00000,0.24150,0.11553,1.00540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09986,-0.02197,0.00000
1.12849,0.00628,1.02127,0.01853,0.01967,0.01296,0.00000,0.22680,0.07832,0.98698,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09427,-0.02076,0.00000
1.13659,0.00420,1.02127,0.01952,0.02086,0.00883,0.00000,0.24138,0.12224,0.96234,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10368,-0.02296,0.00000
1.14655,0.00399,1.02127,0.02283,0.02247,0.01097,0.00000,0.23674,0.16586,0.93910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11781,-0.02599,0.00000
1.15654,0.00379,1.02127,0.02525,0.02403,0.01647,0.00000,0.23217,0.14793,0.92561,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12525,-0.02750,0.00000
1.16691,0.00400,1.59147,0.02434,0.02564,0.02074,0.00000,0.20600,0.08754,0.96179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12026,-0.02639,0.00000
1.17691,0.00383,1.59147,0.02500,0.02686,0.01784,0.00000,0.18446,0.11767,0.95843,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12734,-0.02805,0.00000
1.18733,0.00406,1.59147,0.02385,0.02782,0.01616,0.00000,0.21862,0.08168,0.93678,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12558,-0.02778,0.00000
1.19731,0.00384,1.59147,0.02295,0.02853,0.01479,0.00000,0.24540,0.08711,0.94849,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12416,-0.02755,0.00000
1.20711,0.00296,1.59147,0.02412,0.02915,0.01952,0.00000,0.22979,0.12566,0.94513,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12575,-0.02778,0.00000
1.22041,0.00551,1.59147,0.02199,0.03003,0.02578,0.00000,0.21643,0.06076,0.97386,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11294,-0.02491,0.00000
1.22918,0.00411,1.59147,0.02279,0.03065,0.02364,0.00000,0.21350,0.12047,0.97643,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11904,-0.02630,0.00000
1.23962,0.00386,1.59147,0.02215,0.03127,0.02013,0.00000,0.25461,0.09546,1.00449,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12043,-0.02674,0.00000
1.25014,0.00421,1.59147,0.02345,0.03170,0.02120,0.00000,0.28164,0.13658,1.00912,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12545,-0.02780,0.00000
